,track_id,artist_name,track_name,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_type,uri,track_href,analysis_url,duration_ms,time_signature
0,16nHjvEhYAxpdpeHWfBZZK,Flo Rida,Right Round,43,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']",0.717,0.772,7,-4.264,1,0.0554,0.00889,0.0,0.293,0.734,124.961,audio_features,spotify:track:16nHjvEhYAxpdpeHWfBZZK,https://api.spotify.com/v1/tracks/16nHjvEhYAxpdpeHWfBZZK,https://api.spotify.com/v1/audio-analysis/16nHjvEhYAxpdpeHWfBZZK,206493,4
1,3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,82,"['hip hop', 'rap', 'slap house']",0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,audio_features,spotify:track:3eekarcy7kvN4yt5ZFzltW,https://api.spotify.com/v1/tracks/3eekarcy7kvN4yt5ZFzltW,https://api.spotify.com/v1/audio-analysis/3eekarcy7kvN4yt5ZFzltW,175721,4
2,6xcJyGpfZbuuiequtnlKt4,Travis Scott,BUTTERFLY EFFECT,56,"['hip hop', 'rap', 'slap house']",0.764,0.628,11,-5.851,1,0.0503,0.053,0.0,0.114,0.196,140.963,audio_features,spotify:track:6xcJyGpfZbuuiequtnlKt4,https://api.spotify.com/v1/tracks/6xcJyGpfZbuuiequtnlKt4,https://api.spotify.com/v1/audio-analysis/6xcJyGpfZbuuiequtnlKt4,190557,4
3,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE,82,"['hip hop', 'rap', 'slap house']",0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,audio_features,spotify:track:2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,312820,4
4,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,84,"['hip hop', 'rap', 'slap house']",0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,audio_features,spotify:track:6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,243837,4
5,6gi6y1xwmVszDWkUqab1qw,JACKBOYS,OUT WEST (feat. Young Thug),76,"['rap', 'trap']",0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,audio_features,spotify:track:6gi6y1xwmVszDWkUqab1qw,https://api.spotify.com/v1/tracks/6gi6y1xwmVszDWkUqab1qw,https://api.spotify.com/v1/audio-analysis/6gi6y1xwmVszDWkUqab1qw,157712,4
6,27a1mYSG5tYg7dmEjWBcmL,Travis Scott,CAN'T SAY,75,"['hip hop', 'rap', 'slap house']",0.702,0.708,10,-5.366,0,0.0547,0.201,0.0,0.118,0.713,147.98,audio_features,spotify:track:27a1mYSG5tYg7dmEjWBcmL,https://api.spotify.com/v1/tracks/27a1mYSG5tYg7dmEjWBcmL,https://api.spotify.com/v1/audio-analysis/27a1mYSG5tYg7dmEjWBcmL,198408,4
7,2h6HdN3oPr4JijIQV29hv1,Imagine Dragons,Shots,55,"['modern rock', 'rock']",0.552,0.76,11,-6.861,0,0.0367,0.00713,0.0113,0.313,0.338,104.957,audio_features,spotify:track:2h6HdN3oPr4JijIQV29hv1,https://api.spotify.com/v1/tracks/2h6HdN3oPr4JijIQV29hv1,https://api.spotify.com/v1/audio-analysis/2h6HdN3oPr4JijIQV29hv1,232333,4
8,5cF0dROlMOK5uNZtivgu50,Charlie Puth,Attention,82,"['dance pop', 'pop', 'viral pop']",0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,audio_features,spotify:track:5cF0dROlMOK5uNZtivgu50,https://api.spotify.com/v1/tracks/5cF0dROlMOK5uNZtivgu50,https://api.spotify.com/v1/audio-analysis/5cF0dROlMOK5uNZtivgu50,208787,4
9,2JzZzZUQj3Qff7wapcbKjc,Wiz Khalifa,See You Again (feat. Charlie Puth),81,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,audio_features,spotify:track:2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/tracks/2JzZzZUQj3Qff7wapcbKjc,https://api.spotify.com/v1/audio-analysis/2JzZzZUQj3Qff7wapcbKjc,229526,4
10,06KyNuuMOX1ROXRhj787tj,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),81,"['dance pop', 'pop', 'viral pop']",0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,audio_features,spotify:track:06KyNuuMOX1ROXRhj787tj,https://api.spotify.com/v1/tracks/06KyNuuMOX1ROXRhj787tj,https://api.spotify.com/v1/audio-analysis/06KyNuuMOX1ROXRhj787tj,217707,4
11,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,Cheating on You,77,"['dance pop', 'pop', 'viral pop']",0.749,0.535,4,-6.785,1,0.0336,0.0131,3.65e-05,0.0982,0.601,123.042,audio_features,spotify:track:0ClPIeT6MSgfSgQ9ZrJbAq,https://api.spotify.com/v1/tracks/0ClPIeT6MSgfSgQ9ZrJbAq,https://api.spotify.com/v1/audio-analysis/0ClPIeT6MSgfSgQ9ZrJbAq,196607,4
12,3707IBa4HnS3zDDoWfeUBl,Charlie Puth,I Warned Myself,59,"['dance pop', 'pop', 'viral pop']",0.488,0.311,10,-11.467,0,0.297,0.562,0.000548,0.161,0.579,184.112,audio_features,spotify:track:3707IBa4HnS3zDDoWfeUBl,https://api.spotify.com/v1/tracks/3707IBa4HnS3zDDoWfeUBl,https://api.spotify.com/v1/audio-analysis/3707IBa4HnS3zDDoWfeUBl,159783,4
13,37R0bQOQj5a7DOqh1TGzvB,Charlie Puth,One Call Away,72,"['dance pop', 'pop', 'viral pop']",0.667,0.613,1,-5.353,1,0.0344,0.403,0.0,0.115,0.47,91.024,audio_features,spotify:track:37R0bQOQj5a7DOqh1TGzvB,https://api.spotify.com/v1/tracks/37R0bQOQj5a7DOqh1TGzvB,https://api.spotify.com/v1/audio-analysis/37R0bQOQj5a7DOqh1TGzvB,194453,4
